"Sorry, but you can't place an order.","Sorry, but you can't place an order."
"General Config","General Config"
"Enable Demo Checkout by Customer Group","Enable Demo Checkout by Customer Group"
"Select the groups you want or keep all options unselected to all groups.","Select the groups you want or keep all options unselected to all groups."
"Demo Checkout Message","Demo Checkout Message"
"Message to show when someone tries to place an order.","Message to show when someone tries to place an order."
"Configure Payment Methods for each Customer Group","Configure Payment Methods for each Customer Group"
"Select the groups you want or keep all options unselected to all groups.","Select the groups you want or keep all options unselected to all groups."
